dataset,display_id,entry_id,repetition,line_id,blind_sample
abstraction_only_issue36,A-E021-R2,E021,2,L097,true
abstraction_only_issue36,A-E021-R3,E021,3,L097,true
abstraction_only_issue36,A-E022-R1,E022,1,L053,true
abstraction_only_issue36,A-E022-R2,E022,2,L053,true
abstraction_only_issue36,A-E022-R3,E022,3,L053,true
abstraction_only_issue36,A-E023-R1,E023,1,L118,true
abstraction_only_issue36,A-E023-R2,E023,2,L101,true
abstraction_only_issue36,A-E023-R3,E023,3,L073,true
abstraction_only_issue36,A-E024-R1,E024,1,L076,true
abstraction_only_issue36,A-E024-R2,E024,2,L114,true
abstraction_only_issue36,A-E024-R3,E024,3,L073,true
abstraction_only_issue36,A-E025-R1,E025,1,L027,true
abstraction_only_issue36,A-E025-R2,E025,2,L084,true
abstraction_only_issue36,A-E025-R3,E025,3,L027,true
abstraction_only_issue36,A-E026-R1,E026,1,L082,true
abstraction_only_issue36,A-E026-R2,E026,2,L087,true
abstraction_only_issue36,A-E026-R3,E026,3,L082,true
abstraction_only_issue36,A-E027-R1,E027,1,L087,true
abstraction_only_issue36,A-E027-R2,E027,2,L064,true
abstraction_only_issue36,A-E027-R3,E027,3,L064,true
abstraction_only_issue36,A-E028-R1,E028,1,L107,true
abstraction_only_issue36,A-E028-R2,E028,2,L014,true
abstraction_only_issue36,A-E028-R3,E028,3,L097,true
abstraction_only_issue36,A-E029-R1,E029,1,L065,true
abstraction_only_issue36,A-E029-R2,E029,2,L064,true
abstraction_only_issue36,A-E029-R3,E029,3,L095,true
abstraction_only_issue36,A-E030-R1,E030,1,L065,true
abstraction_only_issue36,A-E030-R2,E030,2,L098,true
abstraction_only_issue36,A-E030-R3,E030,3,L065,true
abstraction_only_issue36,A-E031-R1,E031,1,L104,true
abstraction_only_issue36,A-E031-R2,E031,2,L101,true
abstraction_only_issue36,A-E031-R3,E031,3,L104,true
abstraction_only_issue36,A-E032-R1,E032,1,L012,true
abstraction_only_issue36,A-E032-R2,E032,2,L102,true
abstraction_only_issue36,A-E032-R3,E032,3,L091,true
abstraction_only_issue36,A-E033-R1,E033,1,L118,true
abstraction_only_issue36,A-E033-R2,E033,2,L003,true
abstraction_only_issue36,A-E033-R3,E033,3,L003,true
abstraction_only_issue36,A-E034-R1,E034,1,L117,true
abstraction_only_issue36,A-E034-R2,E034,2,L117,true
abstraction_only_issue36,A-E034-R3,E034,3,L088,true
abstraction_only_issue36,A-E035-R1,E035,1,L112,true
abstraction_only_issue36,A-E035-R2,E035,2,L112,true
abstraction_only_issue36,A-E035-R3,E035,3,L067,true
abstraction_only_issue36,A-E036-R1,E036,1,L116,true
abstraction_only_issue36,A-E036-R2,E036,2,L094,true
abstraction_only_issue36,A-E036-R3,E036,3,L116,true
selected_v1_all_line_displays,B-E001-R1,E001,1,L001,true
selected_v1_all_line_displays,B-E001-R2,E001,2,L001,false
selected_v1_all_line_displays,B-E001-R3,E001,3,L001,false
selected_v1_all_line_displays,B-E002-R1,E002,1,L012,true
selected_v1_all_line_displays,B-E002-R2,E002,2,L012,false
selected_v1_all_line_displays,B-E002-R3,E002,3,L012,false
selected_v1_all_line_displays,B-E005-R1,E005,1,L015,true
selected_v1_all_line_displays,B-E005-R2,E005,2,L015,false
selected_v1_all_line_displays,B-E005-R3,E005,3,L015,false
selected_v1_all_line_displays,B-E006-R1,E006,1,L016,true
selected_v1_all_line_displays,B-E006-R2,E006,2,L016,false
selected_v1_all_line_displays,B-E006-R3,E006,3,L016,false
selected_v1_all_line_displays,B-E007-R1,E007,1,L027,true
selected_v1_all_line_displays,B-E007-R2,E007,2,L027,false
selected_v1_all_line_displays,B-E007-R3,E007,3,L027,false
selected_v1_all_line_displays,B-E008-R1,E008,1,L025,true
selected_v1_all_line_displays,B-E008-R2,E008,2,L025,false
selected_v1_all_line_displays,B-E008-R3,E008,3,L025,false
selected_v1_all_line_displays,B-E009-R1,E009,1,L026,true
selected_v1_all_line_displays,B-E009-R2,E009,2,L026,false
selected_v1_all_line_displays,B-E009-R3,E009,3,L026,false
selected_v1_all_line_displays,B-E010-R1,E010,1,L032,true
selected_v1_all_line_displays,B-E010-R2,E010,2,L032,false
selected_v1_all_line_displays,B-E010-R3,E010,3,L032,false
selected_v1_all_line_displays,B-E011-R1,E011,1,L028,true
selected_v1_all_line_displays,B-E011-R2,E011,2,L028,false
selected_v1_all_line_displays,B-E011-R3,E011,3,L028,false
selected_v1_all_line_displays,B-E012-R1,E012,1,L038,true
selected_v1_all_line_displays,B-E012-R2,E012,2,L036,false
selected_v1_all_line_displays,B-E012-R3,E012,3,L036,false
selected_v1_all_line_displays,B-E013-R1,E013,1,L041,true
selected_v1_all_line_displays,B-E013-R2,E013,2,L041,false
selected_v1_all_line_displays,B-E013-R3,E013,3,L041,false
selected_v1_all_line_displays,B-E014-R1,E014,1,L045,true
selected_v1_all_line_displays,B-E014-R2,E014,2,L045,false
selected_v1_all_line_displays,B-E014-R3,E014,3,L045,false
selected_v1_all_line_displays,B-E015-R1,E015,1,L044,true
selected_v1_all_line_displays,B-E015-R2,E015,2,L044,false
selected_v1_all_line_displays,B-E015-R3,E015,3,L044,false
selected_v1_all_line_displays,B-E016-R1,E016,1,L054,true
selected_v1_all_line_displays,B-E016-R2,E016,2,L054,false
selected_v1_all_line_displays,B-E016-R3,E016,3,L054,false
selected_v1_all_line_displays,B-E017-R1,E017,1,L057,true
selected_v1_all_line_displays,B-E017-R2,E017,2,L057,false
selected_v1_all_line_displays,B-E017-R3,E017,3,L057,false
selected_v1_all_line_displays,B-E018-R1,E018,1,L106,true
selected_v1_all_line_displays,B-E018-R2,E018,2,L106,false
selected_v1_all_line_displays,B-E018-R3,E018,3,L106,false
selected_v1_all_line_displays,B-E019-R1,E019,1,L065,true
selected_v1_all_line_displays,B-E019-R2,E019,2,L061,false
selected_v1_all_line_displays,B-E019-R3,E019,3,L062,false
selected_v1_all_line_displays,B-E020-R1,E020,1,L077,true
selected_v1_all_line_displays,B-E020-R2,E020,2,L077,false
selected_v1_all_line_displays,B-E020-R3,E020,3,L077,false
selected_v1_all_line_displays,B-E021-R1,E021,1,L064,true
selected_v1_all_line_displays,B-E021-R2,E021,2,L064,false
selected_v1_all_line_displays,B-E021-R3,E021,3,L064,false
selected_v1_all_line_displays,B-E022-R1,E022,1,L071,true
selected_v1_all_line_displays,B-E022-R2,E022,2,L071,false
selected_v1_all_line_displays,B-E022-R3,E022,3,L071,false
selected_v1_all_line_displays,B-E024-R1,E024,1,L073,true
selected_v1_all_line_displays,B-E024-R2,E024,2,L073,false
selected_v1_all_line_displays,B-E024-R3,E024,3,L076,false
selected_v1_all_line_displays,B-E025-R1,E025,1,L088,true
selected_v1_all_line_displays,B-E025-R2,E025,2,L081,false
selected_v1_all_line_displays,B-E025-R3,E025,3,L081,false
selected_v1_all_line_displays,B-E026-R1,E026,1,L082,true
selected_v1_all_line_displays,B-E026-R2,E026,2,L082,false
selected_v1_all_line_displays,B-E026-R3,E026,3,L082,false
selected_v1_all_line_displays,B-E027-R2,E027,2,L087,false
selected_v1_all_line_displays,B-E027-R3,E027,3,L087,false
selected_v1_all_line_displays,B-E028-R1,E028,1,L097,true
selected_v1_all_line_displays,B-E028-R2,E028,2,L097,false
selected_v1_all_line_displays,B-E028-R3,E028,3,L097,false
selected_v1_all_line_displays,B-E029-R1,E029,1,L096,true
selected_v1_all_line_displays,B-E029-R2,E029,2,L096,false
selected_v1_all_line_displays,B-E029-R3,E029,3,L096,false
selected_v1_all_line_displays,B-E030-R1,E030,1,L093,true
selected_v1_all_line_displays,B-E030-R2,E030,2,L094,false
selected_v1_all_line_displays,B-E030-R3,E030,3,L093,false
selected_v1_all_line_displays,B-E031-R1,E031,1,L101,true
selected_v1_all_line_displays,B-E031-R2,E031,2,L101,false
selected_v1_all_line_displays,B-E031-R3,E031,3,L101,false
selected_v1_all_line_displays,B-E032-R1,E032,1,L102,true
selected_v1_all_line_displays,B-E032-R2,E032,2,L102,false
selected_v1_all_line_displays,B-E032-R3,E032,3,L102,false
selected_v1_all_line_displays,B-E033-R1,E033,1,L102,true
selected_v1_all_line_displays,B-E033-R2,E033,2,L107,false
selected_v1_all_line_displays,B-E033-R3,E033,3,L106,false
selected_v1_all_line_displays,B-E034-R1,E034,1,L111,true
selected_v1_all_line_displays,B-E034-R2,E034,2,L111,false
selected_v1_all_line_displays,B-E034-R3,E034,3,L111,false
selected_v1_all_line_displays,B-E035-R1,E035,1,L112,true
selected_v1_all_line_displays,B-E035-R2,E035,2,L112,false
selected_v1_all_line_displays,B-E035-R3,E035,3,L112,false
selected_v1_all_line_displays,B-E036-R1,E036,1,L116,true
selected_v1_all_line_displays,B-E036-R2,E036,2,L116,false
selected_v1_all_line_displays,B-E036-R3,E036,3,L116,false
