pair_id,acceptable,distance,relation_type,user_fact_assertion,explicit_contradiction,advice_or_diagnosis,clearly_unrelated,confidence,reason
E009/L006,true,just_right,same_domain,false,false,false,false,medium,否定できない理由と肯定して動く理由が同じではないという両義性を残す
E009/L036,true,just_right,same_domain,false,false,false,false,medium,近くにいる理由への迷いを離れて初めて聞こえる近すぎた音としてずらして見せる
E009/L045,true,just_right,analogical_transfer,false,false,false,false,high,嫌いでないことを近くにいる肯定と同一視できない構造を反対と賛成の間へ転写する
E010/L024,true,just_right,same_domain,false,false,false,false,medium,返事をしない静かな距離も関係の一部だと捉え直しつつ結論は決めない
E010/L032,false,too_close,direct_restatement,false,false,false,false,high,返事をしないことで生じる静かな距離をほぼそのまま言い換える
E010/L087,true,just_right,analogical_transfer,false,false,false,false,high,静けさを選びながらその距離を確かめる動きを静けさを聞く耳へ転写する
E011/L028,false,too_close,direct_restatement,false,false,false,false,high,説明不要と何も伝えないことの違いをEntryが示した緊張の答えとして完成させる
E011/L087,true,just_right,analogical_transfer,false,false,false,false,high,言わなくてよい静けさを望みつつ無言を気にする動きを静けさを確かめる耳へ移す
E012/L031,true,just_right,same_domain,false,false,false,false,medium,物理的に離れる前から関係の距離があり得ると示して遠近の問いを開いたままにする
E012/L036,true,just_right,same_domain,false,false,false,false,medium,離れた後に近すぎたものが聞こえるという逆説でEntryの未確定な距離を照らす
E013/L012,true,just_right,analogical_transfer,false,false,false,false,low,説明できない進捗を空白ではなく形成途中と見る接続は可能だが複数の読みが残る
E013/L048,true,just_right,same_domain,false,false,false,false,medium,成果を説明できない一日にも使った時間の跡があると別の測り方を残す
E014/L045,false,too_close,direct_restatement,false,false,false,false,high,反対しなかったが賛成でもない立場をEntryとほぼ同じ対立軸でまとめる
E014/L118,false,not_obserbing,unrelated,false,false,false,true,high,会議での中間的立場と同じ景色の反復による変化に意味的な橋がない
E015/L041,true,just_right,analogical_transfer,false,false,false,false,medium,仕事量の減少と終える感覚が同じ尺度ではないことを距離の単位へ移す
E015/L096,true,just_right,analogical_transfer,false,false,false,false,high,離れる時が来ると作業していた場所が惜しくなる構造を順番待ちの終わりへ転写する
E016/L021,false,too_far,weak_connection,false,false,false,false,medium,失敗後の普通の声が残ることと会話後に誰の声が残るかでは中心の緊張がずれる
E016/L054,false,too_close,direct_restatement,false,false,false,false,high,失敗の後の普通の声をEntryの順序どおり使って意味を完成させる
E016/L058,true,just_right,analogical_transfer,false,false,false,false,high,失敗した場所がその後に立ち直った場所にもなる構造へ転写して余白を残す
E017/L051,true,just_right,same_domain,false,false,false,false,medium,修正しても間違いがあった場所にだけ跡が残るという時間の非対称を照らす
E017/L056,true,just_right,analogical_transfer,false,false,false,false,high,直して消した間違いも経過の一部であることを消した線と筆順へ転写する
E017/L057,false,too_close,direct_restatement,false,false,false,false,high,見つからなかった間違いと自分の発見をEntryの事実に沿って直接まとめる
E018/L001,true,just_right,analogical_transfer,false,false,false,false,medium,できなかった一つが残る注意の偏りを選ばなかった選択肢が伴う構造へ移す
E018/L052,true,just_right,analogical_transfer,false,false,false,false,high,一つの欠けが多数のできたことより目立つ構造を広い面の小さな欠けへ転写する
E019/L017,false,not_obserbing,unrelated,false,false,false,true,high,配置後の使いやすさと違和感に地図の端と道の端の区別は接続しない
E019/L027,false,not_obserbing,unrelated,false,false,false,true,high,部屋の配置変化と笑った時間が次の約束を要求しないことに接続がない
E019/L074,true,just_right,same_domain,false,false,false,false,low,空間の変更が広さや自分の場所という知覚を変える接続はあるが空になることはEntryにない
E020/L018,false,not_obserbing,unrelated,false,false,false,true,high,古い物を捨てきれない状態と見落としを探す疑いの構造に接続がない
E020/L072,true,just_right,analogical_transfer,false,false,false,false,medium,手放す理由があっても古い物を残すことを削除行為自体が痕跡を残す構造へ移す
E020/L077,false,too_close,direct_restatement,false,false,false,false,high,捨てず箱に残したという具体をそのまま使い未決定という意味まで完成させる
E021/L064,false,too_close,direct_restatement,false,false,false,false,high,望んだ変化を変化後に見直すというEntryの内容を直接要約する
E021/L097,false,too_far,weak_connection,false,false,false,false,medium,過去の自分に今を見せたくないことと未来を見て現在が過ぎることの対応が弱い
E022/L053,true,just_right,same_domain,false,false,false,false,high,戻った鍵と戻らない時間を直せた物と戻れない時間の共存として角度を変える
E023/L073,true,just_right,same_domain,false,false,false,false,low,写真削除で終わりが大きくなることと名前で終わりの輪郭が濃くなることは接続するが行為が異なる
E023/L101,false,not_obserbing,unrelated,false,false,false,true,high,写真削除の重さと主語のない期待による負担に合理的な関係がない
E023/L118,false,too_far,weak_connection,false,false,false,false,low,場所の記録を消した変化と同じ景色の反復は連想できるが削除の重さへの橋が弱い
E024/L073,false,too_close,direct_restatement,false,false,false,false,high,終わりに名前をつけると輪郭が濃くなるというEntryをほぼそのまま繰り返す
E024/L076,true,just_right,analogical_transfer,false,false,false,false,high,名付けた終わりの外にも続く部分があることを線の先にも続く紙へ転写する
E024/L114,false,too_far,weak_connection,false,false,false,false,medium,終わりの命名と小さな出来事が長く残ることは持続以外の接続が弱い
E025/L027,false,too_far,weak_connection,false,false,false,false,low,共有したい余韻と共有した笑いが次を要求しないことは近い語を持つが向きが異なる
E025/L084,true,just_right,analogical_transfer,false,false,false,false,high,誰にも伝えなかったおいしさの余韻を聞かれなかった声が消えない構造へ移す
E026/L082,false,too_close,direct_restatement,false,false,false,false,high,静かな一日と自分の声の距離をEntryの具体に沿って直接言い換える
E026/L087,false,too_close,direct_restatement,false,false,false,false,medium,静けさを望みながら後で確かめるというEntryの転回をそのまま要約する
E027/L064,true,just_right,analogical_transfer,false,false,false,false,high,望んだ一人の状態を実現後に見直す構造を変化後の望みの再検討へ移す
E027/L087,false,too_close,direct_restatement,false,false,false,false,high,一人の静けさを望み実現を確認するというEntryをほぼ直接まとめる
E028/L014,true,just_right,analogical_transfer,false,false,false,false,high,未来への予想が現在の見え方を変える構造として今日を見失う状態を照らす
E028/L097,false,too_close,direct_restatement,false,false,false,false,high,未来を見ている間に今日が過ぎるというEntryの時間関係を直接言い換える
E028/L107,true,just_right,analogical_transfer,false,false,false,false,high,先の予定が現在を先取りする構造を持ち主より先に伸びる影へ転写する
E029/L064,true,just_right,analogical_transfer,false,false,false,false,high,望んだ順番が来た後で待つ状態の価値を見直す構造を変化後の再評価へ移す
E029/L065,true,just_right,analogical_transfer,false,false,false,false,medium,順番という変化に気持ちが遅れて追いつくことを慣れの遅い到着へ転写する
E029/L095,true,just_right,same_domain,false,false,false,false,high,待ち時間が終わってから惜しくなる逆転を過ぎた後に長くなる時間として開く
E030/L065,true,just_right,analogical_transfer,false,false,false,false,low,時間感覚の変化に慣れが追いつくという読みは可能だが一年が短く感じる主因までは示さない
E030/L098,true,just_right,same_domain,false,false,false,false,high,予定表で区切った時間と区切れない経験の時間を対比してEntryの見方をずらす
E031/L101,false,too_close,direct_restatement,false,false,false,false,high,誰のものかわからない期待が重いというEntryを主語と重さで直接まとめる
E031/L104,false,too_close,direct_restatement,false,false,false,false,medium,期待に届かない感覚とその期待の出所不明を高さと置き手にほぼ置換する
E032/L012,false,too_far,weak_connection,false,false,false,false,medium,完了した三つより未着手の一つが残ることとわからなさが形成途中という関係が弱い
E032/L091,false,too_far,weak_connection,false,false,false,false,medium,四つ目を始めなかった注意の偏りと先の予定をめくる間に今日が過ぎる構造がずれる
E032/L102,false,too_close,direct_restatement,false,false,false,false,high,Entryの三つの完了と四つ目の未着手を同じ数量でそのまま言い換える
E033/L003,true,just_right,analogical_transfer,false,false,false,false,high,もっとできたという反実仮想の重さを選んだものと選ばなかったものの対へ転写する
E033/L118,false,not_obserbing,unrelated,false,false,false,true,high,自己批判の言葉が常に準備されることと景色の反復変化に接続がない
E034/L088,true,just_right,same_domain,false,false,false,false,low,小さな日常にも一日の重さがある接続は読めるが共有の有無はEntryに現れない
E034/L117,true,just_right,analogical_transfer,false,false,false,false,high,洗濯物が乾く小さな時間にも一日が宿ることを湯気が消える時間へ転写する
E035/L067,false,too_close,direct_restatement,false,false,false,false,high,いつもの道の景色が変わると感覚も変わるというEntryをほぼ同じ具体でまとめる
E035/L112,false,too_close,direct_restatement,false,false,false,false,high,灯りがなく道の長さが変わるというEntryの表現を直接反復する
E036/L094,true,just_right,same_domain,false,false,false,false,high,同じ時間幅でも何もない日を異なる深さで残せると捉え直す
E036/L116,false,too_close,direct_restatement,false,false,false,false,high,何もない日を覚えておきたいというEntryをほぼそのまま逆説化する
E002/L012,true,just_right,analogical_transfer,false,false,false,false,medium,自分の希望がわからなくなる状態を空白ではなく形の途中として開いたまま捉え直す
E005/L015,true,just_right,same_domain,false,false,false,false,medium,まだ起きていない予定の変化が現在へ影響することを影として示し結論を決めない
E006/L016,false,too_close,direct_restatement,false,false,false,false,high,両方の根拠が同じ程度であることを同じ重さと釣り合いで直接言い換える
E009/L026,false,too_close,direct_restatement,false,false,false,false,medium,近くにいる理由への疑問を近さだけでは測れないという答えにまとめる
E012/L038,true,just_right,same_domain,false,false,false,false,medium,離れて初めて関係の継続と途切れが分かれるという別の距離軸を提示する
E013/L041,false,too_close,direct_restatement,false,false,false,false,medium,忙しさと進んだ量が一致しないというEntryの問題を尺度の違いとして完成させる
E015/L044,true,just_right,analogical_transfer,false,false,false,false,high,仕事量では決まらない離席の区切りを光の変化で訪れる境界へ転写する
E018/L106,false,too_close,direct_restatement,false,false,false,false,high,できたことよりできなかった一つが目立つというEntryを音量で直接言い換える
E019/L065,true,just_right,same_domain,false,false,false,false,high,配置変更の実用性に身体感覚が追いつかないことを慣れの遅れとして照らす
E022/L071,false,too_close,direct_restatement,false,false,false,false,high,戻った鍵と戻らない時間をEntryと同じ対比で直接まとめる
E025/L088,true,just_right,same_domain,false,false,false,false,medium,共有しなかった小さな出来事にも一日の重さがあると余韻を別角度から残す
E029/L096,false,too_close,direct_restatement,false,false,false,false,high,順番が来た時に待っていた状態が惜しくなるというEntryをそのまま言い換える
E030/L093,true,just_right,same_domain,false,false,false,false,medium,予定表の十二枚へ縮んだ一年に折りたためない経験時間を対置して余白を作る
E033/L102,true,just_right,analogical_transfer,false,false,false,false,high,具体的数量をユーザー事実として断定せず未達の一つが達成を上回る構造の例として示す
E034/L111,true,just_right,same_domain,false,false,false,false,medium,乾いた洗濯物に一日の光が残るという像で小さな一日の充実を開いたまま照らす
E019/L061,true,just_right,same_domain,false,false,false,false,high,新しい配置の使いやすさに古い身体の動きがぶつかる像で馴染まなさを開いたまま照らす
E019/L062,false,too_close,direct_restatement,false,false,false,false,medium,便利になった場所にも馴染む時間が要るというEntryの緊張をほぼ直接説明する
E025/L081,true,just_right,same_domain,false,false,false,false,high,一人の食卓に誰かへ渡したい言葉の場所が残る像で共有されない余韻を照らす
E030/L094,true,just_right,same_domain,false,false,false,false,medium,均等な時計と異なる日の深さを対比し予定表に縮んだ一年の外へ経験時間を開く
E033/L107,true,just_right,analogical_transfer,false,false,false,false,medium,実際の達成より先に期待が自己評価へ影を落とす構造としてもっとできたという声を照らす
E033/L106,true,just_right,analogical_transfer,false,false,false,false,high,達成より未達が強く残る一般的な構造へ移し具体数量をユーザー事実として断定しない
