dataset,display_id,entry_id,repetition,line_id,old_acceptable,old_distance,old_clearly_unrelated,old_fatal_grounding_mismatch,old_judge
abstraction_only_issue36,A-E015-R1,E015,1,L096,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E015-R2,E015,2,L041,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E015-R3,E015,3,L096,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E016-R1,E016,1,L021,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E016-R2,E016,2,L058,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E016-R3,E016,3,L054,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E017-R1,E017,1,L057,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E017-R2,E017,2,L056,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E017-R3,E017,3,L051,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E018-R1,E018,1,L052,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E018-R2,E018,2,L001,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E018-R3,E018,3,L052,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E019-R1,E019,1,L027,false,too_far,true,false,openai_blind_preliminary
abstraction_only_issue36,A-E019-R2,E019,2,L074,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E019-R3,E019,3,L017,true,too_far,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E020-R1,E020,1,L072,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E020-R2,E020,2,L077,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E020-R3,E020,3,L018,true,too_far,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E021-R1,E021,1,L064,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E021-R2,E021,2,L097,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E021-R3,E021,3,L097,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E022-R1,E022,1,L053,true,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E022-R2,E022,2,L053,true,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E022-R3,E022,3,L053,true,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E023-R1,E023,1,L118,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E023-R2,E023,2,L101,false,too_far,true,false,openai_blind_preliminary
abstraction_only_issue36,A-E023-R3,E023,3,L073,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E024-R1,E024,1,L076,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E024-R2,E024,2,L114,true,too_far,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E024-R3,E024,3,L073,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E025-R1,E025,1,L027,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E025-R2,E025,2,L084,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E025-R3,E025,3,L027,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E026-R1,E026,1,L082,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E026-R2,E026,2,L087,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E026-R3,E026,3,L082,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E027-R1,E027,1,L087,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E027-R2,E027,2,L064,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E027-R3,E027,3,L064,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E028-R1,E028,1,L107,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E028-R2,E028,2,L014,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E028-R3,E028,3,L097,true,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E029-R1,E029,1,L065,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E029-R2,E029,2,L064,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E029-R3,E029,3,L095,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E030-R1,E030,1,L065,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E030-R2,E030,2,L098,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E030-R3,E030,3,L065,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E031-R1,E031,1,L104,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E031-R2,E031,2,L101,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E031-R3,E031,3,L104,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E032-R1,E032,1,L012,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E032-R2,E032,2,L102,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E032-R3,E032,3,L091,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E033-R1,E033,1,L118,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E033-R2,E033,2,L003,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E033-R3,E033,3,L003,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E034-R1,E034,1,L117,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E034-R2,E034,2,L117,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E034-R3,E034,3,L088,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E035-R1,E035,1,L112,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E035-R2,E035,2,L112,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E035-R3,E035,3,L067,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E036-R1,E036,1,L116,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E036-R2,E036,2,L094,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E036-R3,E036,3,L116,false,too_close,false,false,openai_blind_preliminary
selected_v1_blind_sample,B-E001-R1,E001,1,L001,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E002-R1,E002,1,L012,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E005-R1,E005,1,L015,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E006-R1,E006,1,L016,true,too_close,false,false,codex_preliminary
selected_v1_blind_sample,B-E007-R1,E007,1,L027,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E008-R1,E008,1,L025,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E009-R1,E009,1,L026,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E010-R1,E010,1,L032,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E011-R1,E011,1,L028,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E012-R1,E012,1,L038,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E013-R1,E013,1,L041,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E014-R1,E014,1,L045,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E015-R1,E015,1,L044,true,too_close,false,false,human
selected_v1_blind_sample,B-E016-R1,E016,1,L054,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E017-R1,E017,1,L057,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E018-R1,E018,1,L106,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E019-R1,E019,1,L065,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E020-R1,E020,1,L077,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E021-R1,E021,1,L064,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E022-R1,E022,1,L071,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E024-R1,E024,1,L073,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E025-R1,E025,1,L088,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E026-R1,E026,1,L082,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E028-R1,E028,1,L097,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E029-R1,E029,1,L096,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E030-R1,E030,1,L093,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E031-R1,E031,1,L101,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E032-R1,E032,1,L102,true,too_close,false,false,human
selected_v1_blind_sample,B-E033-R1,E033,1,L102,false,not_obserbing,false,true,codex_preliminary
selected_v1_blind_sample,B-E034-R1,E034,1,L111,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E035-R1,E035,1,L112,true,just_right,false,false,codex_preliminary
selected_v1_blind_sample,B-E036-R1,E036,1,L116,true,just_right,false,false,codex_preliminary
